head,description,tail,description,weight,,,head,description,tail,entity_score,relation_score
Patient,"The patient will continue to take these medications after discharge, as indicated in the discharge instructions.",Discharge Medications: 1. Docusate Sodium 100 mg PO BID 2. Multivitamins 1 TAB PO DAILY,"The patient will continue to take these medications after discharge, as indicated in the discharge instructions.",6,,,Patient,"The patient will continue to take these medications after discharge, as indicated in the discharge instructions.",Discharge Medications: 1. Docusate Sodium 100 mg PO BID 2. Multivitamins 1 TAB PO DAILY,1,2
Patient,The patient is being discharged to an extended care facility for further rehabilitation and support.,Discharge Disposition: Extended Care Facility,The patient is being discharged to an extended care facility for further rehabilitation and support.,9,,,Patient,The patient is being discharged to an extended care facility for further rehabilitation and support.,Discharge Disposition: Extended Care Facility,1,2
Neurocognitive decline,"Neurocognitive decline may be related to depression, especially in an elderly patient with chronic health issues.",Depression in an elderly patient with chronic illness,"Neurocognitive decline may be related to depression, especially in an elderly patient with chronic health issues.",7,,,Neurocognitive decline,"Neurocognitive decline may be related to depression, especially in an elderly patient with chronic health issues.",Depression in an elderly patient with chronic illness,3,3
Patient,"The patient's discharge condition indicates a level of confusion, alertness, and the need for assistance in mobility.",Discharge Condition: Mental Status: Confused - sometimes. Level of Consciousness: Alert and interactive. Activity Status: Ambulatory - requires assistance or aid or cane),"The patient's discharge condition indicates a level of confusion, alertness, and the need for assistance in mobility.",8,,,Patient,"The patient¡¯s discharge condition indicates a level of confusion, alertness, and the need for assistance in mobility.",Discharge Condition: Mental Status: Confused - sometimes. Level of Consciousness: Alert and interactive. Activity Status: Ambulatory - requires assistance or aid or cane),1,2
Patient,"The patient's discharge instructions provide comprehensive details about their condition, treatment, and recommended follow-ups.","Discharge Instructions: Dear Ms. , You were admitted to because you had a fall. It is unclear why you fell. We believe that you suffered a mild concussion since you have no memory before or after the fall. You had head imaging which showed that your ventricles were enlarged. Therefore, you were evaluated by Neurosurgery to check your VP shunt. They found that your VP shunt was working properly. You also had imaging of your shunt which showed that it is working well and that the shunt settings are appropriate; the imaging was unchanged from the last time you had your shunt evaluated. Your pacemaker was also interrogated by Cardiology, and they found that pacemaker was working well. You were also evaluated by physical therapy who felt that you would benefit from discharge to a rehabilitation facility to help you with your walking and build your strength. Please follow-up with your outpatient providers as instructed below. Thank you for allowing us to participate in your care. All best wishes for your recovery.","The patient's discharge instructions provide comprehensive details about their condition, treatment, and recommended follow-ups.",9,,,Patient,"The patient¡¯s discharge instructions provide comprehensive details about their condition, treatment, and recommended follow-ups.","Discharge Instructions: Dear Ms. , You were admitted to because you had a fall¡­",1,2
Patient,"The patient has multiple diagnoses that need to be managed post-discharge, including a fall, possible concussion, normal pressure hydrocephalus, and a history of pacemaker placement.",Discharge Diagnosis: Primary: Fall with probable concussion Secondary: Normal pressure hydrocephalus Mobitz Type II status-post pacemaker placement,"The patient has multiple diagnoses that need to be managed post-discharge, including a fall, possible concussion, normal pressure hydrocephalus, and a history of pacemaker placement.",10,,,Patient,"The patient has multiple diagnoses that need to be managed post-discharge, including a fall, possible concussion, normal pressure hydrocephalus, and a history of pacemaker placement.",Discharge Diagnosis: Primary: Fall with probable concussion Secondary: Normal pressure hydrocephalus Mobitz Type II status-post pacemaker placement,1,2
Patient,The patient needs follow-up appointments with different departments to manage their ongoing health issues.,Code: Full - F/u with Plastics in weeks - F/u with Neurosurgery post-discharge,The patient needs follow-up appointments with different departments to manage their ongoing health issues.,8,,,Patient,The patient needs follow-up appointments with different departments to manage their ongoing health issues.,Code: Full - F/u with Plastics in weeks - F/u with Neurosurgery post-discharge,1,2
BID 3. Aspirin 81 mg PO DAILY,These are two separate medical instructions and do not have a clear relationship to each other.,Atorvastatin 80 mg PO QPM,These are two separate medical instructions and do not have a clear relationship to each other.,2,,,BID 3. Aspirin 81 mg PO DAILY,These are two separate medical instructions and do not have a clear relationship to each other.,Atorvastatin 80 mg PO QPM,3,1
BuPROPion XL (Once Daily) 150 mg PO DAILY,"These are different medications prescribed for the patient, but there is no clear relationship between them in this context.",Escitalopram Oxalate 20 mg PO DAILY,"These are different medications prescribed for the patient, but there is no clear relationship between them in this context.",3,,,BuPROPion XL (Once Daily) 150 mg PO DAILY,"These are different medications prescribed for the patient, but there is no clear relationship between them in this context.",Escitalopram Oxalate 20 mg PO DAILY,3,1
"Glucerna Shake (nut.tx.gluc.intol,lac-free,soy) 1 shake oral TID Duration: 1 Week RX *nut.tx.gluc.intol,lac-free,soy [Glucerna] 237 ml by mouth three times a day Refills:*2",These are different medical instructions and do not have a clear relationship to each other.,Insulin Pump SC (Self Administering Medication) Insulin Aspart (Novolog) (non-formulary),These are different medical instructions and do not have a clear relationship to each other.,4,,,Glucerna Shake¡­,These are different medical instructions and do not have a clear relationship to each other.,Insulin Pump SC (Self Administering Medication) Insulin Aspart (Novolog) (non-formulary),2,1
Isosorbide Dinitrate 5 mg PO TID,"These are different medications prescribed for the patient, but there is no clear relationship between them in this context.",Levothyroxine Sodium 200 mcg PO 1X/WEEK (MO),"These are different medications prescribed for the patient, but there is no clear relationship between them in this context.",3,,,Isosorbide Dinitrate 5 mg PO TID,"These are different medications prescribed for the patient, but there is no clear relationship between them in this context.",Levothyroxine Sodium 200 mcg PO 1X/WEEK (MO),3,1
Metoprolol Succinate XL 50 mg PO DAILY,"These are different medications prescribed for the patient, but there is no clear relationship between them in this context.",Ranitidine 150 mg PO DAILY,"These are different medications prescribed for the patient, but there is no clear relationship between them in this context.",4,,,Metoprolol Succinate XL 50 mg PO DAILY,"These are different medications prescribed for the patient, but there is no clear relationship between them in this context.",Ranitidine 150 mg PO DAILY,3,1
Ms.,"The patient Ms. was operated on by Dr., indicating their professional relationship and care provided by him.",Dr.,"The patient Ms. was operated on by Dr., indicating their professional relationship and care provided by him.",1,,,Ms.,"The patient Ms. was operated on by Dr., indicating their professional relationship and care provided by him.",Dr.,1,2
Ms.,"Ms. experienced hyponatremia, which required management through fluid restriction and medication adjustments.",Hyponatremia,"Ms. experienced hyponatremia, which required management through fluid restriction and medication adjustments.",1,,,Ms.,"Ms. experienced hyponatremia, which required management through fluid restriction and medication adjustments.",Hyponatremia,3,3
Ms.,"Ms. developed atrial fibrillation post-operatively, requiring treatment with medications like amiodarone and eliquis.",Atrial fibrillation,"Ms. developed atrial fibrillation post-operatively, requiring treatment with medications like amiodarone and eliquis.",1,,,Ms.,"Ms. developed atrial fibrillation post-operatively, requiring treatment with medications like amiodarone and eliquis.",Atrial fibrillation,3,3
Dr.,"Dr. managed the patient's hyponatremia through medication adjustments, indicating his role in her care.",Hyponatremia,"Dr. managed the patient's hyponatremia through medication adjustments, indicating his role in her care.",1,,,Dr.,"Dr. managed the patient¡¯s hyponatremia through medication adjustments, indicating his role in her care.",Hyponatremia,2,2
Ms.,"Ms. was prescribed amiodarone to manage atrial fibrillation, showing a direct link between the patient and the treatment.",Amiodarone,"Ms. was prescribed amiodarone to manage atrial fibrillation, showing a direct link between the patient and the treatment.",1,,,Ms.,"Ms. was prescribed amiodarone to manage atrial fibrillation, showing a direct link between the patient and the treatment.",Amiodarone,3,3
Ms.,"The patient Ms. was prescribed Eliquis for anticoagulation or blood clot prevention, indicating its use in her care plan.",Eliquis,"The patient Ms. was prescribed Eliquis for anticoagulation or blood clot prevention, indicating its use in her care plan.",1,,,Ms.,"The patient Ms. was prescribed Eliquis for anticoagulation or blood clot prevention, indicating its use in her care plan.",Eliquis,3,3
Ms.,Ms. was given Lasix to manage hyponatremia by promoting fluid loss through increased urination.,Lasix (20mg PO daily),Ms. was given Lasix to manage hyponatremia by promoting fluid loss through increased urination.,1,,,Ms.,Ms. was given Lasix to manage hyponatremia by promoting fluid loss through increased urination.,Lasix (20mg PO daily),3,3
Dr.,"Dr. is responsible for managing the patient's atrial fibrillation, indicating his role in her post-operative care.",Atrial fibrillation,"Dr. is responsible for managing the patient's atrial fibrillation, indicating his role in her post-operative care.",1,,,Dr.,"Dr. is responsible for managing the patient¡¯s atrial fibrillation, indicating his role in her post-operative care.",Atrial fibrillation,2,2
Hyponatremia,"Both conditions are managed by Dr., showing a connection between their treatment and the patient's overall care plan.",Atrial fibrillation,"Both conditions are managed by Dr., showing a connection between their treatment and the patient's overall care plan.",1,,,Hyponatremia,"Both conditions are managed by Dr., showing a connection between their treatment and the patient¡¯s overall care plan.",Atrial fibrillation,3,2
Dr.,"The surgical procedures were performed by Dr. on Ms., indicating his role in her surgical care.","CABG x 3, L radial-PDA), PFO closure, and repair anterior leaflet tricuspid valve","The surgical procedures were performed by Dr. on Ms., indicating his role in her surgical care.",1,,,Dr.,"The surgical procedures were performed by Dr. on Ms., indicating his role in her surgical care.","CABG x 3, L radial-PDA), PFO closure, and repair anterior leaflet tricuspid valve",2,2
Ms.,"Ms. underwent multiple surgical procedures including CABG, left radial to pulmonary artery connection, patent foramen ovale closure, and tricuspid valve repair.","CABG x 3, L radial-PDA), PFO closure, and repair anterior leaflet tricuspid valve","Ms. underwent multiple surgical procedures including CABG, left radial to pulmonary artery connection, patent foramen ovale closure, and tricuspid valve repair.",1,,,Ms.,"Ms. underwent multiple surgical procedures including CABG, left radial to pulmonary artery connection, patent foramen ovale closure, and tricuspid valve repair.","CABG x 3, L radial-PDA), PFO closure, and repair anterior leaflet tricuspid valve",3,3
Atrial fibrillation,"Both conditions are managed by Dr., showing a connection between their treatment and the patient's overall care plan.",Hyponatremia,"Both conditions are managed by Dr., showing a connection between their treatment and the patient's overall care plan.",1,,,Atrial fibrillation,"Both conditions are managed by Dr., showing a connection between their treatment and the patient¡¯s overall care plan.",Hyponatremia,3,2
Dr.,"Dr. prescribed these medications for managing the patient's atrial fibrillation, hyponatremia, and other conditions.","Amiodarone, Eliquis, Lasix (20mg PO daily)","Dr. prescribed these medications for managing the patient's atrial fibrillation, hyponatremia, and other conditions.",1,,,Dr.,"Dr. prescribed these medications for managing the patient¡¯s atrial fibrillation, hyponatremia, and other conditions.","Amiodarone, Eliquis, Lasix (20mg PO daily)",2,2
Hyponatremia,"All of these are part of the treatment plan for managing Ms.'s conditions, showing a comprehensive care approach.","Atrial fibrillation, Amiodarone, Eliquis, Lasix (20mg PO daily)","All of these are part of the treatment plan for managing Ms.'s conditions, showing a comprehensive care approach.",1,,,Hyponatremia,"All of these are part of the treatment plan for managing Ms.'s conditions, showing a comprehensive care approach.","Atrial fibrillation, Amiodarone, Eliquis, Lasix (20mg PO daily)",2,2
iltiazem,"Both medications are prescribed to the patient for managing her condition, showing a parallel treatment approach.",Metoprolol,"Both medications are prescribed to the patient for managing her condition, showing a parallel treatment approach.",6,,,iltiazem,"Both medications are prescribed to the patient for managing her condition, showing a parallel treatment approach.",Metoprolol,2,2
iltiazem,"Both medications are part of the patient's regimen, indicating their importance in her management plan.",Diltiazem,"Both medications are part of the patient's regimen, indicating their importance in her management plan.",7,,,iltiazem,"Both medications are part of the patient¡¯s regimen, indicating their importance in her management plan.",Diltiazem,2,1
CHADS score 2,The CHADS score influences decisions regarding anticoagulation and management of atrial fibrillation.,Atrial fibrillation with RVR,The CHADS score influences decisions regarding anticoagulation and management of atrial fibrillation.,8,,,CHADS score 2,The CHADS score influences decisions regarding anticoagulation and management of atrial fibrillation.,Atrial fibrillation with RVR,3,3
Respiratory issues,"Both respiratory events are significant complications that required intensive care, highlighting the patient's critical condition.",Flash pulmonary edema,"Both respiratory events are significant complications that required intensive care, highlighting the patient's critical condition.",9,,,Respiratory issues,"Both respiratory events are significant complications that required intensive care, highlighting the patient¡¯s critical condition.",Flash pulmonary edema,2,2
Perforated colon cancer,The antibiotics were used to manage infections related to the perforated colon cancer surgery.,Unasyn and Augmentin,The antibiotics were used to manage infections related to the perforated colon cancer surgery.,8,,,Perforated colon cancer,The antibiotics were used to manage infections related to the perforated colon cancer surgery.,Unasyn and Augmentin,3,3
Atrial fibrillation with RVR,"Both events are critical cardiac issues that required immediate attention, indicating a high-risk period for the patient.",Flash pulmonary edema,"Both events are critical cardiac issues that required immediate attention, indicating a high-risk period for the patient.",7,,,Atrial fibrillation with RVR,"Both events are critical cardiac issues that required immediate attention, indicating a high-risk period for the patient.",Flash pulmonary edema,3,2
iltiazem,The CHADS score influences decisions regarding the use of medications like iltiazem in managing the patient's condition.,CHADS score 2,The CHADS score influences decisions regarding the use of medications like iltiazem in managing the patient's condition.,6,,,iltiazem,The CHADS score influences decisions regarding the use of medications like iltiazem in managing the patient¡¯s condition.,CHADS score 2,2,2
Diltiazem,"Diltiazem is used to manage atrial fibrillation, a significant cardiac event for the patient.",Atrial fibrillation with RVR,"Diltiazem is used to manage atrial fibrillation, a significant cardiac event for the patient.",8,,,Diltiazem,"Diltiazem is used to manage atrial fibrillation, a significant cardiac event for the patient.",Atrial fibrillation with RVR,3,3
Flash pulmonary edema,"The flash pulmonary edema necessitated an extended stay in the ICU and discharge to a rehab facility, indicating ongoing care needs.",Discharge to rehab facility,"The flash pulmonary edema necessitated an extended stay in the ICU and discharge to a rehab facility, indicating ongoing care needs.",9,,,Flash pulmonary edema,"The flash pulmonary edema necessitated an extended stay in the ICU and discharge to a rehab facility, indicating ongoing care needs.",Discharge to rehab facility,3,2
Mild wall thickening of the ascending colon,"Both findings are related to chronic colopathy and cirrhosis, indicating a systemic condition affecting multiple organs.",Nodular liver contour,"Both findings are related to chronic colopathy and cirrhosis, indicating a systemic condition affecting multiple organs.",8,,,Mild wall thickening of the ascending colon,"Both findings are related to chronic colopathy and cirrhosis, indicating a systemic condition affecting multiple organs.",Nodular liver contour,3,2
Right kidney measures 10.3 cm,"The measurements of both kidneys provide context for the overall renal function assessment, highlighting any asymmetry or significant differences in size.",Left kidney measures 9.9 cm,"The measurements of both kidneys provide context for the overall renal function assessment, highlighting any asymmetry or significant differences in size.",7,,,Right kidney measures 10.3 cm,"The measurements of both kidneys provide context for the overall renal function assessment, highlighting any asymmetry or significant differences in size.",Left kidney measures 9.9 cm,2,2
6 mm cyst is noted at mid left kidney,"While the cyst and kidney sizes are separate findings, they both contribute to a comprehensive assessment of the patient's renal health, indicating multiple points of interest for further evaluation.",Right kidney measures 10.3 cm,"While the cyst and kidney sizes are separate findings, they both contribute to a comprehensive assessment of the patient's renal health, indicating multiple points of interest for further evaluation.",5,,,6 mm cyst is noted at mid left kidney,"While the cyst and kidney sizes are separate findings, they both contribute to a comprehensive assessment of the patient¡¯s renal health, indicating multiple points of interest for further evaluation.",Right kidney measures 10.3 cm,2,2
Clindamycin,"Both Clindamycin and Keflex are mentioned as potential causes of the allergic reaction, with Clindamycin being definitively identified as the culprit.",Keflex,"Both Clindamycin and Keflex are mentioned as potential causes of the allergic reaction, with Clindamycin being definitively identified as the culprit.",6,,,Clindamycin,"Both Clindamycin and Keflex are mentioned as potential causes of the allergic reaction, with Clindamycin being definitively identified as the culprit.",Keflex,3,2
Solumedrol 125 daily,"Both Solumedrol and Prednisone are types of corticosteroids used to manage symptoms, with Prednisone being a more potent form prescribed later.",Prednisone 40mg PO daily for 4 additional days on discharge,"Both Solumedrol and Prednisone are types of corticosteroids used to manage symptoms, with Prednisone being a more potent form prescribed later.",7,,,Solumedrol 125 daily,"Both Solumedrol and Prednisone are types of corticosteroids used to manage symptoms, with Prednisone being a more potent form prescribed later.",Prednisone 40mg PO daily for 4 additional days on discharge,3,2
Topical clobetasol ointment 0.05% BID,"Both are topical corticosteroids used for managing skin symptoms, with the latter being a lower potency version.",Hydrocortisone 2.5% BID x 10 days,"Both are topical corticosteroids used for managing skin symptoms, with the latter being a lower potency version.",7,,,Topical clobetasol ointment 0.05% BID,"Both are topical corticosteroids used for managing skin symptoms, with the latter being a lower potency version.",Hydrocortisone 2.5% BID x 10 days,3,2
Atorvastatin 10 mg PO QPM,"These medications were part of the patient's pre-admission regimen and continued during hospitalization, with Atorvastatin being stopped due to suspected allergic reaction.",Levothyroxine Sodium 75 mcg PO DAILY,"These medications were part of the patient's pre-admission regimen and continued during hospitalization, with Atorvastatin being stopped due to suspected allergic reaction.",6,,,Atorvastatin 10 mg PO QPM,"These medications were part of the patient¡¯s pre-admission regimen and continued during hospitalization, with Atorvastatin being stopped due to suspected allergic reaction.",Levothyroxine Sodium 75 mcg PO DAILY,3,2
Clindamycin,"Both are antibiotics mentioned as potential causes of the allergic reaction, with Clindamycin being definitively identified as the culprit.",Keflex,"Both are antibiotics mentioned as potential causes of the allergic reaction, with Clindamycin being definitively identified as the culprit.",7,,,Clindamycin,"Both are antibiotics mentioned as potential causes of the allergic reaction, with Clindamycin being definitively identified as the culprit.",Keflex,3,2
Solumedrol 125 daily,"Both are corticosteroids used to manage symptoms, with Prednisone being a more potent form prescribed later.",Prednisone 40mg PO daily for 4 additional days on discharge,"Both are corticosteroids used to manage symptoms, with Prednisone being a more potent form prescribed later.",8,,,Solumedrol 125 daily,"Both are corticosteroids used to manage symptoms, with Prednisone being a more potent form prescribed later.",Prednisone 40mg PO daily for 4 additional days on discharge,3,2
CXR neg.,"CXR negative is an event that indicates no evidence of a specific medical condition, likely myocardial infarction (MI), which is relevant to the overall health assessment during hospitalization.",event,"CXR negative is an event that indicates no evidence of a specific medical condition, likely myocardial infarction (MI), which is relevant to the overall health assessment during hospitalization.",6,,,CXR neg.,"CXR negative is an event that indicates no evidence of a specific medical condition, likely myocardial infarction (MI), which is relevant to the overall health assessment during hospitalization.",event,2,1
EKG unremarkable,"EKG unremarkable is an event indicating normal results from an electrocardiogram, which is important for ruling out certain cardiac issues and supporting the overall health assessment during hospitalization.",event,"EKG unremarkable is an event indicating normal results from an electrocardiogram, which is important for ruling out certain cardiac issues and supporting the overall health assessment during hospitalization.",6,,,EKG unremarkable,"EKG unremarkable is an event indicating normal results from an electrocardiogram, which is important for ruling out certain cardiac issues and supporting the overall health assessment during hospitalization.",event,2,1
Medications on Admission,"Medications on admission are part of the organization's protocol to manage patient care, ensuring ongoing treatment and management during hospitalization. This is relevant to the overall health assessment and discharge instructions.",organization,"Medications on admission are part of the organization's protocol to manage patient care, ensuring ongoing treatment and management during hospitalization. This is relevant to the overall health assessment and discharge instructions.",6,,,Medications on Admission,"Medications on admission are part of the organization¡¯s protocol to manage patient care, ensuring ongoing treatment and management during hospitalization. This is relevant to the overall health assessment and discharge instructions.",organization,1,1
"Clobetasol Propionate 0.05% Ointment 1 Appl TP BID RX *clobetasol 0.05 % Apply to body - NOT face, neck, or groin twice a day Disp #*60 Gram Gram Refills:*3","Clobetasol Propionate is used for skin conditions like eczema and psoriasis, which are relevant to the patient's condition and discharge instructions.",technology,"Clobetasol Propionate is used for skin conditions like eczema and psoriasis, which are relevant to the patient's condition and discharge instructions.",6,,,Clobetasol Propionate 0.05% Ointment¡­,"Clobetasol Propionate is used for skin conditions like eczema and psoriasis, which are relevant to the patient¡¯s condition and discharge instructions.",technology,3,1
Dexamethasone Oral Soln (0.1mg/1mL) 5 mL ORAL TID:PRN mouth pain Swish and Spit RX *dexamethasone 0.5 mg/5 mL 5 ml by mouth three times a day Refills:*1,"Dexamethasone is used for reducing inflammation, which is relevant to the patient's condition and discharge instructions, particularly for managing mouth pain.",technology,"Dexamethasone is used for reducing inflammation, which is relevant to the patient's condition and discharge instructions, particularly for managing mouth pain.",6,,,Dexamethasone Oral Soln (0.1mg/1mL)¡­,"Dexamethasone is used for reducing inflammation, which is relevant to the patient¡¯s condition and discharge instructions, particularly for managing mouth pain.",technology,3,1
"Hydrocortisone Oint 2.5% 1 Appl TP BID Duration: 10 Days RX *hydrocortisone 2.5 % Apply to face, neck, groin twice a day Refills:*3","Hydrocortisone is used for skin conditions like eczema and dermatitis, which are relevant to the patient's condition and discharge instructions.",technology,"Hydrocortisone is used for skin conditions like eczema and dermatitis, which are relevant to the patient's condition and discharge instructions.",6,,,Hydrocortisone Oint 2.5% 1 Appl¡­,"Hydrocortisone is used for skin conditions like eczema and dermatitis, which are relevant to the patient¡¯s condition and discharge instructions.",technology,3,1
Neomycin-Polymyxin-Bacitracin 1 Appl TP BID,"This antibiotic ointment is used for treating skin infections or wounds, which is relevant to the patient's condition and discharge instructions, particularly for managing toe redness and pain.",technology,"This antibiotic ointment is used for treating skin infections or wounds, which is relevant to the patient's condition and discharge instructions, particularly for managing toe redness and pain.",6,,,Neomycin-Polymyxin-Bacitracin 1 Appl TP BID,"This antibiotic ointment is used for treating skin infections or wounds, which is relevant to the patient¡¯s condition and discharge instructions, particularly for managing toe redness and pain.",technology,3,1
PredniSONE 40 mg PO DAILY Duration: 4 Days RX *prednisone 20 mg 2 tablet(s) by mouth once a day Disp #*8 Tablet Refills:*0,"Prednisone is used for inflammation and immune system disorders, which is relevant to the patient's condition and discharge instructions, particularly for managing skin rash.",technology,"Prednisone is used for inflammation and immune system disorders, which is relevant to the patient's condition and discharge instructions, particularly for managing skin rash.",6,,,PredniSONE 40 mg PO DAILY¡­,"Prednisone is used for inflammation and immune system disorders, which is relevant to the patient¡¯s condition and discharge instructions, particularly for managing skin rash.",technology,3,1
Sulfameth/Trimethoprim DS 1 TAB PO BID RX *sulfamethoxazole-trimethoprim 800 mg 160 mg 1 tablet(s) by mouth twice a day Disp #*12 Tablet Refills:*0,"Sulfameth/Trimethoprim is used for treating bacterial infections, which is relevant to the patient's condition and discharge instructions, particularly for managing skin rash.",technology,"Sulfameth/Trimethoprim is used for treating bacterial infections, which is relevant to the patient's condition and discharge instructions, particularly for managing skin rash.",6,,,Sulfameth/Trimethoprim DS 1 TAB¡­,"Sulfameth/Trimethoprim is used for treating bacterial infections, which is relevant to the patient¡¯s condition and discharge instructions, particularly for managing skin rash.",technology,3,1
Discharge Disposition: Home,"Home discharge indicates that the patient was discharged to their home after treatment, which is a significant event in the overall health assessment and follow-up care plan.",event,"Home discharge indicates that the patient was discharged to their home after treatment, which is a significant event in the overall health assessment and follow-up care plan.",6,,,Discharge Disposition: Home,"Home discharge indicates that the patient was discharged to their home after treatment, which is a significant event in the overall health assessment and follow-up care plan.",event,1,1
C. diff.,The antibiotics used for the previous infections may have contributed to the C. diff. infection.,Antibiotics for recent urinary tract infection and ureteral stent placement,The antibiotics used for the previous infections may have contributed to the C. diff. infection.,6,,,C. diff.,The antibiotics used for the previous infections may have contributed to the C. diff. infection.,Antibiotics for recent urinary tract infection and ureteral stent placement,3,3
C. diff.,The different antibiotic is being taken to treat the C. diff. infection.,"Different antibiotic, by mouth",The different antibiotic is being taken to treat the C. diff. infection.,9,,,C. diff.,The different antibiotic is being taken to treat the C. diff. infection.,"Different antibiotic, by mouth",3,2
Interatrial Septum,"The Interatrial Septum is described as aneurysmal with a round outpouching toward the right atrial side, and it is mentioned that there is a Patent foramen ovale present.",Patent foramen ovale (PFO),"The Interatrial Septum is described as aneurysmal with a round outpouching toward the right atrial side, and it is mentioned that there is a Patent foramen ovale present.",6,,,Interatrial Septum,"The Interatrial Septum is described as aneurysmal with a round outpouching toward the right atrial side, and it is mentioned that there is a Patent foramen ovale present.",Patent foramen ovale (PFO),3,3
Left Ventricle (LV),"Both ventricles are described with normal cavity sizes and functions, indicating they work together in the heart's pumping mechanism.",Right Ventricle (RV),"Both ventricles are described with normal cavity sizes and functions, indicating they work together in the heart's pumping mechanism.",7,,,Left Ventricle (LV),"Both ventricles are described with normal cavity sizes and functions, indicating they work together in the heart¡¯s pumping mechanism.",Right Ventricle (RV),3,2
Aorta,"The Aorta is mentioned as having a normal diameter, while the Aortic Valve shows mild thickening but no significant issues, suggesting their interdependence in blood flow regulation.",Aortic Valve,"The Aorta is mentioned as having a normal diameter, while the Aortic Valve shows mild thickening but no significant issues, suggesting their interdependence in blood flow regulation.",6,,,Aorta,"The Aorta is mentioned as having a normal diameter, while the Aortic Valve shows mild thickening but no significant issues, suggesting their interdependence in blood flow regulation.",Aortic Valve,3,3
Mitral Valve,"Both valves are described with specific conditions, indicating they play roles in different parts of the heart's function and may interact during overall cardiac health.",Tricuspid Valve,"Both valves are described with specific conditions, indicating they play roles in different parts of the heart's function and may interact during overall cardiac health.",5,,,Mitral Valve,"Both valves are described with specific conditions, indicating they play roles in different parts of the heart¡¯s function and may interact during overall cardiac health.",Tricuspid Valve,3,2
