start,end,gt_path,graph_path_found,pred_path,pred_explanation,required_hits,hit_count,hit_nodes,success
Photophobia,Visual Blurriness,Photophobia -> Worsening Headache -> Visual Blurriness,True,Photophobia -> Worsening Headache -> Visual Blurriness,Photophobia --[Associated-With]--> Worsening Headache | Worsening Headache --[Associated-With]--> Visual Blurriness,1,1,Worsening Headache,True
AVM,Nausea,AVM -> Seizure Disorder -> Nausea,False,No Path,,1,0,,False
Agitation,Lorazepam,Agitation -> Complex Partial Seizure -> Lorazepam,False,No Path,,1,0,,False
Zonisamide,Seizure Frequency,Zonisamide -> Epilepsy -> Seizure Frequency,True,Zonisamide -> Epilepsy -> Seizure Frequency,Zonisamide --[Treats]--> Epilepsy | Epilepsy --[Associated-With]--> Seizure Frequency,1,1,Epilepsy,True
Medication Non-Adherence,Epilepsy,Medication Non-Adherence -> Seizure Frequency -> Epilepsy,True,Medication Non-Adherence -> Seizure Frequency -> Epilepsy,Medication Non-Adherence --[Associated-With]--> Seizure Frequency | Seizure Frequency --[Associated-With]--> Epilepsy,1,1,Seizure Frequency,True
Disc Herniation,Myelopathy,Disc Herniation -> Cervical Spine -> Myelopathy,True,Disc Herniation -> Myelopathy,Disc Herniation --[Causes]--> Myelopathy,1,0,,False
Spinal Cord Injury,Cervical Spine,Spinal Cord Injury -> Myelopathy -> Cervical Spine,False,No Path,,1,0,,False
C6-C7,Degenerative Disk Disease,C6-C7 -> Spinal Stenosis -> Degenerative Disk Disease,True,C6-C7 -> Spinal Stenosis -> Degenerative Disk Disease,C6-C7 --[Located-In]--> Spinal Stenosis | Spinal Stenosis --[Part-Of]--> Degenerative Disk Disease,1,1,Spinal Stenosis,True
Fibromyalgia,C6-C7,Fibromyalgia -> Spinal Stenosis -> C6-C7,True,Fibromyalgia -> Spinal Stenosis -> C6-C7,Fibromyalgia --[Associated-With]--> Spinal Stenosis | Spinal Stenosis --[Located-In]--> C6-C7,1,1,Spinal Stenosis,True
Paranoid Schizophrenia,Stroke,Paranoid Schizophrenia -> Atrial Fibrillation -> Stroke,True,Paranoid Schizophrenia -> Atrial Fibrillation -> Stroke,Paranoid Schizophrenia --[Associated-With]--> Atrial Fibrillation | Atrial Fibrillation --[Associated-With]--> Stroke,1,1,Atrial Fibrillation,True
HPV16 E6 Antibodies,HPV16 DNA,HPV16 E6 Antibodies -> Oropharyngeal Squamous Cell Carcinoma -> HPV16 DNA,True,HPV16 E6 Antibodies -> Oropharyngeal Squamous Cell Carcinoma -> HPV16 DNA,HPV16 E6 Antibodies --[Biomarker-Of]--> Oropharyngeal Squamous Cell Carcinoma | Oropharyngeal Squamous Cell Carcinoma --[Associated-With]--> HPV16 DNA,1,1,Oropharyngeal Squamous Cell Carcinoma,True
HPV,HPV18 E6 Antibodies,HPV -> Cervical Cancer -> HPV18 E6 Antibodies,False,No Path,,1,0,,False
Genetic Variants,Renal Cell Carcinoma Risk,Genetic Variants -> Leukocyte Telomere Length -> Renal Cell Carcinoma Risk,True,Genetic Variants -> Leukocyte Telomere Length -> Renal Cell Carcinoma Risk,Genetic Variants --[Associated-With]--> Leukocyte Telomere Length | Leukocyte Telomere Length --[Associated-With]--> Renal Cell Carcinoma Risk,1,1,Leukocyte Telomere Length,True
Telomerase Activity,Relative Telomere Length,Telomerase Activity -> Renal Cell Carcinoma -> Relative Telomere Length,True,Telomerase Activity -> Renal Cell Carcinoma -> Relative Telomere Length,Telomerase Activity --[Contributes-To-Pathogenesis]--> Renal Cell Carcinoma | Renal Cell Carcinoma --[Associated-With]--> Relative Telomere Length,1,1,Renal Cell Carcinoma,True
BRAF V600E,Tumor Growth,BRAF V600E -> Thyroid Cancer Dedifferentiation -> Tumor Growth,False,No Path,,1,0,,False
