query,target,predicted,score,correct
Zonegran,Zonisamide,trapezii,0.4355366,False
Lorazepam,Lorazepam,Lorazepam,0.9999998,True
Ativan,Risperdal and Ativan,Risperdal and Ativan,0.7017456,True
Epilepsy,Epilepsy,Epilepsy,0.99999994,True
non-epileptic seizures,Non-epileptiform seizures,Non-epileptiform seizures,0.9672429,True
withdrawal seizures,Alcohol Withdrawal,Seizures,0.7114162,False
AUD,Alcohol Use Disorder,Ang1005,0.4075525,False
Alcohol abuse,Alcohol Abuse,Alcohol Abuse,1.0000002,True
alcoholic cirrhosis,Alcoholic Cirrhosis,Alcoholic Cirrhosis,1.0000002,True
alcoholic hepatitis,Alcoholic Hepatitis,Alcoholic Hepatitis,1.0000001,True
cirrhosis,cirrhosis,Cirrhosis,0.9999998,True
CLD,Chronic Liver Disease,Cl,0.738164,False
HE,Hepatic Encephalopathy,NHEJ,0.3230466,False
Lactulose,Lactulose,Lactulose,0.9999999,True
Rifaximin,Rifaximin,Rifaximin,1.0,True
Ascites,Ascites,Ascites,0.99999994,True
portal HTN,portal hypertension,hepatic portal system,0.48780364,False
varices,esophageal varices,esophageal varices,0.7038032,True
portal gastropathy,portal gastropathy,portal gastropathy,1.0,True
AMS,Altered Mental Status,AVM,0.45219755,False
TME,Toxic Metabolic Encephalopathy,Tat,0.46443477,False
hallucinations,Visual Hallucinations,hallucinations,1.0000001,False
delirium,Delirium,Delirium,1.0,True
hypernatremia,Hypernatremia,Hypernatremia,0.9999999,True
hyponatremia,Hyponatremia,Hyponatremia,0.99999976,True
hypokalemia,Hypokalemia,Hypokalemia,1.0,True
K,K,K,1.0,True
Na,Na,Na,0.99999994,True
Cl,Cl,Cl,1.0000002,True
HCO3,Hco3,Hco3,1.0,True
Anion gap,Angap,air leak,0.2835982,False
BUN,Urean,Insulin,0.35879827,False
lactic acidosis,lactic acidosis,lactic acidosis,1.0,True
metformin toxicity,metformin toxicity,metformin toxicity,1.0000001,True
ALT,ALT,ALT,1.0000001,True
liver disease,Liver disease,Liver disease,1.0,True
liver biopsy,liver biopsy,Liver Biopsy,1.0,True
CK,Blood CK,Blood CK,0.59822387,True
CK-MB,CK-MB,CK-MB,0.9999999,True
MI,Myocardial Infarction,MCV,0.38692456,False
fibromyalgia,Fibromyalgia,Fibromyalgia,1.0,True
esophageal CA,esophageal cancer,Esophageal Cancer,0.6824628,True
adenoCA,Esophageal Adenocarcinoma,adenocarcinoma,0.7536193,False
coffee ground emesis,Coffee Ground Emesis,Coffee Ground Emesis,0.9999998,True
dysphagia,Dysphagia/Odynophagia,Dysphagia/Odynophagia,0.87769073,True
stricture,Esophageal Stricture,Colonic Stricture,0.56124127,False
stent,Esophageal Stent,Nephroureteral Stent,0.6875483,False
GERD,Gastroesophageal Reflux Disease,gastroesophageal reflux disease (GERD),0.6568768,False
omeprazole,Omeprazole,Omeprazole,1.0000001,True
pantoprazole,Pantoprazole,Pantoprazole,0.99999994,True
ranitidine,Ranitidine,Ranitidine,0.99999994,True
colon cancer,Colon Cancer,Colon Cancer,1.0,True
metastatic colon CA,Metastatic Colon Cancer,Metastatic Colon Cancer,0.77451795,True
colonic adenoCA,Colonic Adenocarcinoma,Colonic Adenocarcinoma,0.91997653,True
liver mets,Right Lobe of the Liver,Liver Disease,0.70922446,False
cholangio,cholangiocarcinoma,cholangitis,0.7758441,False
pancreatic CA,pancreatic cancer,Pancreatic Ductal Dilation,0.68420684,False
breast CA,Breast Cancer,Breast growth,0.6379133,False
prostate CA,Prostate Cancer,Prostate gland,0.69832397,False
SCLC,Non-Small Cell Lung Cancer,Cl,0.5479928,False
NSCLC,Non-small cell lung cancer,Darc,0.52121514,False
lung CA,Lung Cancer,Lung,0.7652562,False
OPSCC,Oropharyngeal Squamous Cell Carcinoma,Darc,0.53799856,False
HPV,HPV,HPV,1.0000002,True
cervical CA,Cervical Cancer,cervical stenosis,0.6380955,False
thyroid CA,Thyroid cancer,Hypothyroidism,0.5746135,False
ATC,Anaplastic Thyroid Carcinoma,Darc,0.5696378,False
BRAF,BRAF V600E,BRAF V600E,0.5701357,True
RCC,Renal Cell Carcinoma,RBC,0.6093906,False
Glioma,Glioma,Glioma,1.0,True
mets,multiple hemorrhagic cerebral metastases,Asthma,0.33058253,False
vasogenic edema,vasogenic edema,vasogenic edema,1.0000002,True
brain mets,Brain Metastases,brain,0.608941,False
rad necrosis,Radiation Necrosis,Radiation Necrosis,0.7299403,True
tonsillar CA,Tonsillar Carcinoma,Tonsillar Carcinoma,0.5317137,True
EMT,EMT,EMT,1.0000001,True
epithelial mesenchymal transition,epithelial-mesenchymal transition,epithelial-mesenchymal transition,0.98288053,True
TGF,TGF,TGF,1.0000004,True
TGFBR2,TGFBR2,TGFBR2,1.0,True
USP11,USP11,USP11,1.0000008,True
Dicer,Dicer,Dicer,1.0000002,True
miRNA,MicroRNAs,miRNA Expression,0.6708719,False
AGO2,AGO2,AGO2,1.0000001,True
RISC,RISC,risc,1.0,True
Let-7,Let-7 Family of miRNAs,negative for changes,0.45070446,False
Kras,Kras 3' UTR,Kras 3' UTR,0.77278364,True
MEK inhibitors,MEK inhibitors,MEK inhibitors,1.0,True
PI3K,PI3K pathway,PI3K pathway,0.64396185,True
PIK3CA,PIK3CA mutation,PIK3CA mutation,0.5445647,True
ERK,ERK signaling,ERK signaling,0.6147851,True
SHH,Hedgehog Pathway Activity,MCH,0.35714355,False
BRCA2,BRCA2 Mutation,RBC,0.53344554,False
apoptosis,Apoptosis,apoptosis,0.99999964,True
oxidative stress,Oxidative Stress,oxidative stress,1.0,True
ROS,reactive oxygen species,risc,0.48453248,False
mtDNA,mitochondrial DNA,mitochondrial DNA,0.7479424,True
DMD,Duchenne Muscular Dystrophy,MDD,0.77578676,False
HIV,HIV,HIV,0.99999976,True
ART,Antiretroviral Therapy (ART),Automatism,0.44760692,False
CD4,CD4 count,CD4,1.0000002,False
HAND,HAND,HAND,1.0,True
Ipi,Ipilimumab,Ipilimumab,0.53866065,True
Nivo,Nivolumab,Nivolumab,0.7095609,True
Paclitaxel,Paclitaxel,Paclitaxel,1.0,True
Ang1005,Ang1005,Ang1005,0.9999999,True
MDD,major depressive disorder,MDD,1.0000002,False
depression,depression,Depression,0.9999999,True
SI,suicidal ideation,Denies SI/Hi,0.530805,False
suicidal thoughts,suicidal thoughts,suicidal thoughts,0.9999997,True
anhedonia,anhedonia,anhedonia,1.0000001,True
BPD,bipolar disorder,borderline personality disorder,0.7145603,False
schizophrenia,schizophrenia,Schizophrenia,0.9999998,True
paranoid schizophrenia,Paranoid Schizophrenia,Paranoid Schizophrenia,1.0000004,True
BPD,borderline personality disorder,borderline personality disorder,0.7145603,True
ADHD,ADHD,ADHD,1.0,True
anxiety,Anxiety,Anxiety,0.99999976,True
panic attack,Panic Attack,Panic Attack,1.0000001,True
polysubstance abuse,polysubstance abuse,polysubstance abuse,1.0000001,True
SUD,Substance Use Disorder,ALT,0.4292941,False
cannabis,Cannabis,Cannabis,1.0000001,True
avoiding eye contact,poor eye contact,poor eye contact,0.7504082,True
anomia,word finding difficulty,anhedonia,0.49692652,False
memory lapses,memory lapses,memory lapses,0.9999998,True
cognitive changes,cognitive changes,Cognitive changes,1.0000002,True
tremulousness,tremulousness,tremulousness,1.0000005,True
facial droop,Facial Droop,Facial Droop,1.0000002,True
R arm/leg weakness,Right Arm and Leg Weakness,Right arm and leg weakness,0.80385095,True
paresthesias,Paresthesias,Paresthesias,1.0,True
disc herniation,Disc Herniation,Disc Herniation,1.0000004,True
cervical stenosis,cervical stenosis,cervical stenosis,0.99999994,True
spinal stenosis,Spinal Stenosis,Spinal Stenosis,1.0000001,True
DDD,Degenerative Disk Disease,MDD,0.7901536,False
myelopathy,Myelopathy,Myelopathy,0.99999976,True
SCI,Spinal Cord Injury,scintillator,0.49903563,False
L hip fx,left hip fracture,hip,0.48605978,False
ORIF,open reduction internal fixation,Iopamidol,0.3451337,False
distal femur fx,distal femur fracture,right distal femur,0.7306912,False
gangrene,gangrene,gangrene,1.0000001,True
PVD,peripheral vascular disease,MDD,0.5048813,False
ERCP,ERCP,ERCP,1.0000002,True
